web-scraper-order,web-scraper-start-url,product-link,product-link-href,name,price,freguesia,typology,privative_area,type,description,nWC,floor,elevator,parking,construction year,energy_efficiency-src,features,agent_name,total area,useful area,building area
"1687783043-1","https://www.remax.pt/comprar/porto","venda-apartamento-t4-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria                  300 000 €         Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória        Apartamento   115 m2    3    4","https://www.remax.pt/imoveis/venda-apartamento-t4-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria/123821031-380","Apartamento T4 à venda em Boavista","300 000 €","Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória","4","115 m2","Venda","Descrição   Excelente T4 no Porto junto ao Metro. Este apartamento foi totalmente renovado com materiais de qualidade, ao nível de canalização, parte eléctrica, cozinha, casas de banho, aplicação de nova caixilharia de vidro duplo com corte térmico, estores eléctricos, pré instalação de ar-condicionado, etc...Está inserido num prédio com elevador e sem garagem. É constituído por uma sala ampla com varanda, cozinha equipada, quatro quartos com roupeiros embutidos, sendo um deles uma suite, duas casas de banho completas, mais um WC de serviço e lavandaria. Fica a 3min a pé do Metro de Francos, a 150m da Casa de Saúde da Boavista, a 400m do Edifício POP, a 300m do Mercadona e muito perto do acesso à VCI, Rotunda da Boavista, Av. da Boavista, etc...É uma excelente oportunidade para habitação própria ou para colocar no mercado de arrendamento, com boa taxa de rentabilidade. Pode ainda ser colocado em AL, porque está inserido na freguesia de Cedofeita, que faz parte dos locais onde se poderão obter novas licenças para esse efeito. Nota: o apartamento está disponível para visitas a partir de 3 de Julho. A REMAX está ao seu dispor para o ajudar a comprar este excelente T4 no Porto junto ao Metro!","4","1º Andar","Sim","Não","1974","https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/C.png","Características   Varanda Estores Elétricos  Cozinha Equipada Ar Condicionado  Perto de Parque Trânsito de Acesso Fácil  Perto de Ginásio Perto de Transportes Públicos  Vizinhança Perto de Igreja  Perto de Hospital Perto de Jardim  Perto de Lojas Perto de Escola(s)  Internet","José Cunha Lopes","125","115","115"
"1687783058-2","https://www.remax.pt/comprar/porto","venda-moradia-t5-porto-aldoar-foz-do-douro-e-nevogilde                  725 000 €         Porto -   Porto, Aldoar, Foz do Douro e Nevogilde        Moradia   211 m2    5    5","https://www.remax.pt/imoveis/venda-moradia-t5-porto-aldoar-foz-do-douro-e-nevogilde/120781136-41","Moradia T5 à venda em Porto","725 000 €","Aldoar, Foz do Douro e Nevogilde","5","211 m2","Venda","Descrição     Ilha em Aldoar com enorme potencial para construção nova de moradias. Faz gaveto com a Rua de Vila Nova e a Rua Alcaide Faria. São 2 artigos com construção anterior a 1951 com: Área Total 970,2 m2 Área coberta 211,32 m2 Área descoberta 758,88 m2 Para mais informações, indique o ID 120781136-41","5","--","Não","Não","1951","https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/NC.png","","José Coelho","970","211","211"
"1687783073-3","https://www.remax.pt/comprar/porto","venda-moradia-t2-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria                 Visita virtual     298 165 €         Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória        Moradia   106 m2    1    2","https://www.remax.pt/imoveis/venda-moradia-t2-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria/123821036-351","Moradia T2 à venda em Cedofeita","298 165 €","Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória","2","106 m2","Venda","Descrição   MORADIA T2 DUPLEX NO CENTRO - PORTO   Com um design moderno e elegante, esta Moradia T2 proporciona-lhe um ambiente tranquilo e confortável dentro de um Condomínio Privado. Esta Casa é ideal para quem procura um espaço funcional, acolhedor e contemporâneo.   Moradia composta por:

 R/C
- Sala
 - Cozinha Totalmente Equipada
- Casa de Banho Completa 
1º Andar
- Hall 1º Piso
 - 2 Quartos   Dispõe de Ar Condicionado, Vidros Duplos com Corte Térmico, Portas de Segurança e Alarme Anti-Incêncio, Anti-Inundação e Anti-Intrusão.
 Tem ainda ao seu dispor de um Lugar de Garagem, que lhe proporciona um espaço seguro para estacionar o seu veículo.   Localizada em Rua Aníbal Cunha, no coração do Porto, está próxima de todo o tipo de comércio, serviços, escolas, transportes públicos, nomeadamente a 8 minutos a pé (650m) da Estação de Metro Carolina Michaelis e a 5 minutos de carro dos acessos à VCI, A1, A3 e A4.   AL - Área de Crescimento Sustentável - Freguesia Cedofeita   Esta Moradia T2 Duplex oferece uma oportunidade única de desfrutar de um estilo de vida confortável e contemporâneo, num ambiente tranquilo e privado. Tornando ainda a sua localização privilegiada num dos seus principais atrativos.   Agende a sua visita e descubra por si!   ________________________     DUPLEX HOUSE WITH 2 BEDROOM, CENTER - PORTO   With a modern and elegant design, this House provides you with a peaceful and comfortable environment within a Private Condominium. This House is ideal for those looking for a functional, welcoming and contemporary space.   House consisting of: Ground floor
- Fully Equipped Kitchen
- Living room
- Complete bathroom 1° floor
- Hall 1st Floor
- 2 Bedrooms   It has Air Conditioning, Double Glazing with Thermal Cut, Security Doors and Anti-Fire, Anti-Flood and Anti-Intrusion Alarm.
You also have at your disposal a Garage Space, which provides you with a safe space to park your vehicle.   Located on Rua Aníbal Cunha, in the heart of Porto, it is near to all kinds of shops, services, schools, public transport, namely an 8-minute walk (650m) from the Carolina Michaelis Metro Station and a 5-minute drive from the accesses to the VCI, A1, A3 and A4.   AL - Sustainable Growth Area - Cedofeita Parish   This Duplex House offers a unique opportunity to enjoy a comfortable and contemporary lifestyle, in a peaceful and private environment. Making its privileged location one of its main attractions.   Schedule your visit and find out for yourself!","2","--","Não","1 Lug.","2022","https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/C.png","Características   Jardim Sistema de Segurança  Urbano Perto de Transportes Públicos  Ar Condicionado Cozinha Equipada  Moradia Localização  Garagem C/ Portão Automático Perto de Hospital  Perto de Parque Perto de Escola(s)  Centro da Cidade Perto de Lojas  Perto de Jardim Electricidade  Água Internet","Alexandrina Magalhães","106","106","106"
"1687783096-4","https://www.remax.pt/comprar/porto","venda-apartamento-t2-porto-bonfim                  220 000 €         Porto -   Porto, Bonfim        Apartamento   92 m2    2    2","https://www.remax.pt/imoveis/venda-apartamento-t2-porto-bonfim/120741291-70","Apartamento T2 à venda em Porto","220 000 €","Bonfim","2","92 m2","Venda","Descrição   Apartamento T2 para venda a 220 000 € Localiza-se 2 min da estação de metro dos Combatentes e a 7 min do metro do Marques. Apartamento com cozinha equipada e acabamentos minimalistas. Tem estores eletricos e vidros duplos. Um dos quartos é suite e tem varanda. O apartamento tem num total 3 varandas. Esta actualmente arrendado com valor de 800 euros, contrato termina em Dezembro de 2024. Venha visitar!","2","1º Andar","Não","Não","1981","https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/E.png","Características   Varanda Ar Condicionado  Vistas Exteriores Cozinha Equipada  Perto de Transportes Públicos Urbano  Estilo Contemporâneo Oeste  Este","Betâmia Monteiro","--","92","92"
"1687783111-5","https://www.remax.pt/comprar/porto","venda-apartamento-t1-porto-campanha                  110 000 €     Investimento    Porto -   Porto, Campanhã        Apartamento   46 m2    1    1","https://www.remax.pt/imoveis/venda-apartamento-t1-porto-campanha/120931558-1","Apartamento T1 à venda em Porto","110 000 €","Campanhã","1","46 m2","Venda","Descrição   Apartamento T1 para venda a 110 000 €   Apartamento T1 muito bem localizado. Ótima oportunidade de investimento! Boas acessibilidades e proximidade de serviços :
Mercadona - 100 mt.
Farmácia - 200mt.
Estádio do Dragão e Estação Metro - 800mt.
A 500 mts do acesso ao nó do Mercado Abastecedor de ligação á VCI. Marque já a sua visita.
Não perca esta oportunidade rentável de Investimento.","1","1º Andar","Não","Não","1981","https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/D.png","Características   Varanda Perto de Transportes Públicos  Urbano Por Remodelar  Centro da Cidade Perto de Igreja  Rua Sossegada Perto de Escola(s)  Perto de Hospital Perto de Lojas  Trânsito de Acesso Fácil Norte  Água Electricidade","Nuno Almeida","--","52","52"
"1687783127-6","https://www.remax.pt/comprar/porto","venda-prédio-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria                  179 000 €         Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória        Prédio   117 m2    0    --","https://www.remax.pt/imoveis/venda-predio-porto-cedofeita-santo-ildefonso-se-miragaia-sao-nicolau-e-vitoria/123571263-34","Prédio à venda em Porto","179 000 €","Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória","--","117 m2","Venda","Descrição     Fantástico PRÉDIO para reabilitação, em Propriedade Total, com espaço comercial no RC com entrada independente. Trata-se de um imóvel , para investimento ou habitaçao propria com imenso potencial, numa zona de enorme procura. É constituído por RC , 1 e 2 piso e um sotão.   De construção anterior a 1951, de Traça Antiga, com varandas em ferro como caracteriza a rua Cimo de Vila , inserido em Zona ARU (Área de Reabilitação Urbana), com vários benefícios fiscais. Fica situado no Centro de Cidade do Porto, proximo da Sé, Fontainhas, Ponte D. Luis , estação de São Bento, dispondo de todas as acessibilidades inerentes (transportes, cultura, comércio, lazer). Prédio tem um contrato de arrendamento até 10/2025 com valor de 350€.   Não perca esta oportunidade.   Fantastic BUILDING for rehabilitation, in Total Property, with commercial space in RC with independent entrance.
It is a property, for investment or own housing with immense potential, in an area of enormous demand. It consists of RC, 1 and 2 floor and a loft
Built before 1951, of Old Moth, with iron balconies as characterized by the street Cimo de Vila , inserted in Zone ARU (Urban Rehabilitation Area), with several tax benefits. It is located very close to Sé , Fontainhas , D. Luís Bridge, S.Bento station, having all the inherent accessibilities (transport, culture, commerce, leisure). Predio has a lease until 10/2025 with a value of 350€ Don't miss this great opportunity!","--","--","Não","Não","1950","https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/E.png","","Carla Souto","--","117","117"
"1687783142-7","https://www.remax.pt/comprar/porto","venda-apartamento-t1-porto-campanha                  210 000 €         Porto -   Porto, Campanhã        Apartamento   69 m2    1    1","https://www.remax.pt/imoveis/venda-apartamento-t1-porto-campanha/124851177-33","Apartamento T1 à venda em Porto","210 000 €","Campanhã","1","69 m2","Venda","Descrição   Apartamento T1 Novo na Praça da Corujeira, na freguesia de Campanha, concelho do Porto. Inserida numa zona de atração turística, residencial e a escassos metros do Terminal Intermodal (meio que agrega vários meios de transporte de ligação ao País), conta com as seguintes características: 
Características: O imóvel é constituído por sala e cozinha totalmente equipada em open space, dois quartos com roupeiro e casa de banho completa. 
Acabamentos Interiores.: - Porta de Segurança;
- Isolamento entre pisos, paredes e tetos;
- Tetos Falsos c/ Focos LED;
- Fita LED nas Sancas;
- Estores Elétricos;
- Bomba de Calor para água sanitárias;
- Ar-Condicionado;
- Sistema de Video-Porteiro;
- Madeira Flutuante;   Localização: - Estádio do Dragão a 600 m; - Metro do Dragão a 450 m; - Alameda Shopping a 800 m; - Num raio de 1 km tem ao dispor inúmeros serviços (Escolas, Creches, Bombas de Gasolina) comércio (Cafés, Supermercados) e transporte públicos (Comboio, Metro e Autocarros);","1","R/C","Sim","Não","2022","https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/B.png","","João Vaz","--","69","69"
"1687783157-8","https://www.remax.pt/comprar/porto","venda-apartamento-t2-porto-campanha                  265 000 €         Porto -   Porto, Campanhã        Apartamento   69 m2    1    2","https://www.remax.pt/imoveis/venda-apartamento-t2-porto-campanha/124851188-10","Apartamento T2 à venda em Porto","265 000 €","Campanhã","2","69 m2","Venda","Descrição   Apartamento T2 Novo na Praça da Corujeira, na freguesia de Campanha, concelho do Porto. Inserida numa zona de atração turística, residencial e a escassos metros do Terminal Intermodal (meio que agrega vários meios de transporte de ligação ao País), conta com as seguintes características: 
Características: O imóvel é constituído por sala e cozinha totalmente equipada em open space, dois quartos com roupeiro e casa de banho completa. 
Acabamentos Interiores.: - Porta de Segurança;
- Isolamento entre pisos, paredes e tetos;
- Tetos Falsos c/ Focos LED;
- Fita LED nas Sancas;
- Estores Elétricos;
- Bomba de Calor para água sanitárias;
- Ar-Condicionado;
- Sistema de Video-Porteiro;
- Madeira Flutuante;   Localização: - Estádio do Dragão a 600 m; - Metro do Dragão a 450 m; - Alameda Shopping a 800 m; - Num raio de 1 km tem ao dispor inúmeros serviços (Escolas, Creches, Bombas de Gasolina) comércio (Cafés, Supermercados) e transporte públicos (Comboio, Metro e Autocarros);","2","R/C","Sim","Não","2022","https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/B.png","Características   Jardim Cozinha Equipada  Vistas Exteriores Ar Condicionado  Perto de Transportes Públicos Sistema de Segurança  Urbano Localização  Garagem C/ Portão Automático Primeiro proprietário  Centro da Cidade Perto de Autoestrada  Perto de Jardim Trânsito de Acesso Fácil  Local Movimentado Perto de Parque  Perto de Lojas Perto de Ginásio","Joana Semana","--","69","69"
"1687783172-9","https://www.remax.pt/comprar/porto","venda-apartamento-t2-porto-campanha                  270 000 €         Porto -   Porto, Campanhã        Apartamento   69 m2    1    2","https://www.remax.pt/imoveis/venda-apartamento-t2-porto-campanha/124851187-15","Apartamento T2 à venda em Porto","270 000 €","Campanhã","2","69 m2","Venda","Descrição   Apartamento T2 Novo na Praça da Corujeira, na freguesia de Campanha, concelho do Porto. Inserida numa zona de atração turística, residencial e a escassos metros do Terminal Intermodal (meio que agrega vários meios de transporte de ligação ao País), conta com as seguintes características: 
Características: O imóvel é constituído por sala e cozinha totalmente equipada em open space, dois quartos com roupeiro e casa de banho completa. 
Acabamentos Interiores.: - Porta de Segurança;
- Isolamento entre pisos, paredes e tetos;
- Tetos Falsos c/ Focos LED;
- Fita LED nas Sancas;
- Estores Elétricos;
- Bomba de Calor para água sanitárias;
- Ar-Condicionado;
- Sistema de Video-Porteiro;
- Madeira Flutuante;   Localização: - Estádio do Dragão a 600 m; - Metro do Dragão a 450 m; - Alameda Shopping a 800 m; - Num raio de 1 km tem ao dispor inúmeros serviços (Escolas, Creches, Bombas de Gasolina) comércio (Cafés, Supermercados) e transporte públicos (Comboio, Metro e Autocarros);","2","1º Andar","Sim","Não","2022","https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/B.png","Características   Jardim Cozinha Equipada  Vistas Exteriores Ar Condicionado  Perto de Transportes Públicos Sistema de Segurança  Urbano Localização  Garagem C/ Portão Automático Primeiro proprietário  Centro da Cidade Perto de Autoestrada  Perto de Jardim Trânsito de Acesso Fácil  Local Movimentado Perto de Parque  Perto de Lojas Perto de Ginásio","Tiago Carneiro","--","69","69"
"1687783197-10","https://www.remax.pt/comprar/porto","venda-apartamento-t2-porto-campanha                  250 000 €         Porto -   Porto, Campanhã        Apartamento   76 m2    1    2","https://www.remax.pt/imoveis/venda-apartamento-t2-porto-campanha/124851232-1","Apartamento T2 à venda em Porto","250 000 €","Campanhã","2","76 m2","Venda","Descrição   Apartamento T2 Novo na Praça da Corujeira, na freguesia de Campanha, concelho do Porto. Inserida numa zona de atração turística, residencial e a escassos metros do Terminal Intermodal (meio que agrega vários meios de transporte de ligação ao País), conta com as seguintes características: 
Características: O imóvel é constituído por sala e cozinha totalmente equipada em open space, dois quartos com roupeiro e casa de banho completa. 
Acabamentos Interiores.: - Porta de Segurança;
- Isolamento entre pisos, paredes e tetos;
- Tetos Falsos c/ Focos LED;
- Fita LED nas Sancas;
- Estores Elétricos;
- Bomba de Calor para água sanitárias;
- Ar-Condicionado;
- Sistema de Video-Porteiro;
- Madeira Flutuante;   Localização: - Estádio do Dragão a 600 m; - Metro do Dragão a 450 m; - Alameda Shopping a 800 m; - Num raio de 1 km tem ao dispor inúmeros serviços (Escolas, Creches, Bombas de Gasolina) comércio (Cafés, Supermercados) e transporte públicos (Comboio, Metro e Autocarros);","2","1º Andar","Sim","Não","2022","https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/B.png","Características   Jardim Cozinha Equipada  Vistas Exteriores Ar Condicionado  Perto de Transportes Públicos Sistema de Segurança  Urbano Localização  Garagem C/ Portão Automático Primeiro proprietário  Centro da Cidade Perto de Autoestrada  Perto de Jardim Trânsito de Acesso Fácil  Local Movimentado Perto de Parque  Perto de Lojas Perto de Ginásio","Priscila Koboldt","--","76","76"
