CODIGO,NOME,CONCELHO
10101,Agadão,101
10102,"Aguada de Baixo",101
10103,"Aguada de Cima",101
10104,Águeda,101
10105,Barro,101
10106,"Belazaima do Chão",101
10107,"Castanheira do Vouga",101
10108,Espinhel,101
10109,Fermentelos,101
10110,"Lamas do Vouga",101
10111,"Macieira de Alcoba",101
10112,"Macinhata do Vouga",101
10113,"Óis da Ribeira",101
10114,Préstimo,101
10115,Recardães,101
10116,Segadães,101
10117,Travassó,101
10118,Trofa,101
10119,"Valongo do Vouga",101
10120,Borralha,101
10201,Albergaria-a-Velha,102
10202,Alquerubim,102
10203,Angeja,102
10204,Branca,102
10205,Frossos,102
10206,"Ribeira de Fráguas",102
10207,"São João de Loure",102
10208,Valmaior,102
10301,"Amoreira da Gandara",103
10302,Ancas,103
10303,Arcos,103
10304,"Avelãs de Caminho",103
10305,"Avelãs de Cima",103
10306,Mogofores,103
10307,Moita,103
10308,"Óis do Bairro",103
10309,Sangalhos,103
10310,"São Lourenço do Bairro",103
10311,Tamengos,103
10312,"Vila Nova de Monsarros",103
10313,"Vilarinho do Bairro",103
10314,"Paredes do Bairro",103
10315,Aguim,103
10401,"Albergaria da Serra",104
10402,Alvarenga,104
10403,Arouca,104
10404,Burgo,104
10405,Cabreiros,104
10406,Canelas,104
10407,Chave,104
10408,"Covelo de Paivó",104
10409,Escariz,104
10410,Espiunca,104
10411,Fermedo,104
10412,Janarde,104
10413,Mansores,104
10414,Moldes,104
10415,Rossas,104
10416,"Santa Eulália",104
10417,"São Miguel do Mato",104
10418,Tropeço,104
10419,Urro,104
10420,Várzea,104
10501,Aradas,105
10502,Cacia,105
10503,Eirol,105
10504,Eixo,105
10505,Esgueira,105
10506,Glória,105
10507,Nariz,105
10508,Oliveirinha,105
10509,Requeixo,105
10510,"São Bernardo",105
10511,"São Jacinto",105
10512,"Vera Cruz",105
10513,"Santa Joana",105
10514,"N Sra de Fátima",105
10601,Bairros,106
10602,Fornos,106
10603,Paraíso,106
10604,Pedorido,106
10605,Raiva,106
10606,Real,106
10607,"Santa Maria de Sardoura",106
10608,"São Martinho de Sardoura",106
10609,Sobrado,106
10701,Anta,107
10702,Espinho,107
10703,Guetim,107
10704,Páramos,107
10705,Silvalde,107
10801,Avanca,108
10802,Beduído,108
10803,Canelas,108
10804,Fermelã,108
10805,Pardilhó,108
10806,Salreu,108
10807,Veiros,108
10901,Argoncilhe,109
10902,Arrifana,109
10903,Canedo,109
10904,Escapães,109
10905,Espargo,109
10906,Feira,109
10907,Fiães,109
10908,Fornos,109
10909,Gião,109
10910,Guisande,109
10911,Lobão,109
10912,Louredo,109
10913,Lourosa,109
10914,"Milheirós de Poiares",109
10915,Mosteiró,109
10916,Mozelos,109
10917,"Nogueira da Regedoura",109
10918,"São Paio de Oleiros",109
10919,"Paços de Brandão",109
10920,Pigeiros,109
10921,"Rio Meão",109
10922,Romariz,109
10923,Sanfins,109
10924,Sanguedo,109
10925,"Santa Maria de Lamas",109
10926,"São João de Ver",109
10927,"Caldas de São Jorge",109
10928,Souto,109
10929,Travanca,109
10930,Vale,109
10931,"Vila Maior",109
11001,"Gafanha do Carmo",110
11002,"Gafanha da Encarnação",110
11003,"Gafanha da Nazaré",110
11004,"I S Salvador",110
11101,Antes,111
11102,Barcouço,111
11103,"Casal Comba",111
11104,Luso,111
11105,Mealhada,111
11106,Pampilhosa,111
11107,Vacariça,111
11108,"Ventosa do Bairro",111
11201,Bunheiro,112
11202,Monte,112
11203,Murtosa,112
11204,Torreira,112
11301,Carregosa,113
11302,Cesar,113
11303,Fajões,113
11304,Loureiro,113
11305,"Macieira de Sarnes",113
11306,"Macinhata de Seixa",113
11307,Madail,113
11308,"Nogueira do Cravo",113
11309,"Oliveira de Azemeis",113
11310,Ossela,113
11311,Palmaz,113
11312,Pindelo,113
11313,"Pinheiro da Bemposta",113
11314,"Santiago de Riba-Ul",113
11315,"São Martinho da Gandara",113
11316,Travanca,113
11317,Ul,113
11318,"São Roque",113
11319,"Vila de Cucujães",113
11401,Bustos,114
11402,Mamarrosa,114
11403,Oiã,114
11404,"Oliveira do Bairro",114
11405,Palhaça,114
11406,Troviscal,114
11501,Arada,115
11502,Cortegaça,115
11503,Esmoriz,115
11504,Maceda,115
11505,Ovar,115
11506,"São Vicente de Pereira Jusã",115
11507,Válega,115
11508,"São João",115
11601,"São João da Madeira",116
11701,Cedrim,117
11702,"Couto de Esteves",117
11703,Paradela,117
11704,"Pessegueiro do Vouga",117
11705,"Rocas do Vouga",117
11706,"Sever do Vouga",117
11707,"Silva Escura",117
11708,Talhadas,117
11709,Dornelas,117
11801,Calvão,118
