DISTRITO,INSCRITOS,VOTANTES,ABSTENCOES,BRANCOS,NULOS
1,571455,362371,209084,3442,2878
2,144921,85024,59897,858,879
3,654287,441438,212849,3125,3451
4,150247,82132,68115,710,1038
5,192358,122622,69736,1047,1549
6,378701,233244,145457,2613,2389
7,148820,92586,56234,922,826
8,313469,180216,133253,2497,2092
9,171374,102142,69232,874,1558
10,375983,232785,143198,2838,2269
11,1825612,1127653,697959,14702,9339
12,112297,71258,41039,768,675
13,1411557,917419,494138,8896,6930
14,389692,242495,147197,2956,2596
15,645045,389948,255097,4797,3342
16,225658,137179,88479,1154,1421
17,219118,124375,94743,906,1571
18,348083,203673,144410,1780,2473
30,208567,121583,86984,1280,1850
40,186578,93763,92815,687,802
