FREGUESIA,PARTIDO,VOTOS
10101,BE,0
10101,CDSPP,54
10101,MPT,1
10101,PCPPEV,3
10101,PCTPMRPP,0
10101,PH,2
10101,PPDPSD,180
10101,PPM,1
10101,PS,83
10101,PSN,1
10102,BE,6
10102,CDSPP,182
10102,MPT,1
10102,PCPPEV,7
10102,PCTPMRPP,3
10102,PH,5
10102,PPDPSD,330
10102,PPM,2
10102,PS,251
10102,PSN,2
10103,BE,16
10103,CDSPP,221
10103,MPT,4
10103,PCPPEV,25
10103,PCTPMRPP,3
10103,PH,3
10103,PPDPSD,799
10103,PPM,4
10103,PS,665
10103,PSN,2
10104,BE,76
10104,CDSPP,661
10104,MPT,10
10104,PCPPEV,307
10104,PCTPMRPP,32
10104,PH,13
10104,PPDPSD,2002
10104,PPM,20
10104,PS,2700
10104,PSN,7
10105,BE,16
10105,CDSPP,93
10105,MPT,1
10105,PCPPEV,10
10105,PCTPMRPP,1
10105,PH,0
10105,PPDPSD,406
10105,PPM,3
10105,PS,353
10105,PSN,5
10106,BE,1
10106,CDSPP,35
10106,MPT,5
10106,PCPPEV,3
10106,PCTPMRPP,1
10106,PH,0
10106,PPDPSD,124
10106,PPM,2
10106,PS,178
10106,PSN,0
10107,BE,2
10107,CDSPP,60
10107,MPT,0
10107,PCPPEV,0
10107,PCTPMRPP,0
10107,PH,1
10107,PPDPSD,241
10107,PPM,3
10107,PS,114
10107,PSN,1
10108,BE,13
10108,CDSPP,144
10108,MPT,3
10108,PCPPEV,53
10108,PCTPMRPP,9
10108,PH,1
10108,PPDPSD,453
10108,PPM,3
10108,PS,700
10108,PSN,3
10109,BE,10
10109,CDSPP,407
10109,MPT,1
10109,PCPPEV,14
10109,PCTPMRPP,4
10109,PH,1
10109,PPDPSD,968
10109,PPM,1
10109,PS,212
10109,PSN,1
10110,BE,0
10110,CDSPP,33
10110,MPT,3
10110,PCPPEV,8
10110,PCTPMRPP,1
10110,PH,0
10110,PPDPSD,156
10110,PPM,0
10110,PS,224
10110,PSN,2
10111,BE,0
10111,CDSPP,12
10111,MPT,0
10111,PCPPEV,1
10111,PCTPMRPP,0
10111,PH,0
10111,PPDPSD,58
10111,PPM,0
10111,PS,23
10111,PSN,0
10112,BE,10
10112,CDSPP,259
10112,MPT,2
10112,PCPPEV,61
10112,PCTPMRPP,10
10112,PH,4
10112,PPDPSD,588
10112,PPM,5
